"","TCGA-A1-A0SE-01","TCGA-A1-A0SH-01","TCGA-A1-A0SJ-01","TCGA-A1-A0SK-01","TCGA-A1-A0SM-01","TCGA-A1-A0SO-01","TCGA-A1-A0SP-01","TCGA-A2-A04P-01","TCGA-A2-A04Q-01","TCGA-A2-A04R-01","TCGA-A2-A04T-01","TCGA-A2-A04V-01","TCGA-A2-A04X-01","TCGA-A2-A04Y-01","TCGA-A2-A0CM-01"
"MCPH1",1.69707887135165,1.39695641451115,1.69280355264009,0.831391683630653,1.86282835125643,0.630371926213308,1.56748058720857,0.29056231547818,1.09558425399005,1.93335144134471,1.67478988588586,0.690925293784881,1.17001445976181,1.96065155825163,1.67128707978325
"FBXO42",1.73147691455056,1.49534324199549,1.52171249046758,2.04143210809513,1.10312693500257,2.11992889553245,1.99525884549521,1.80452567511615,1.75626364437317,1.25818468244688,1.9681752521487,1.9838190947227,2.34542173326036,1.63798514491566,1.72714557116934
"ITM2B",5.68527834901255,6.35667275720356,6.43668721649226,5.65690979671056,6.13703007419794,4.98611435622673,5.33737306712526,5.7091963957378,5.98018562168787,5.43717204914373,5.03075170147648,6.33899324127844,5.91108695364388,6.45586609652083,5.0951012781812
"RAB28",0.42831048623616,0.718337951775985,0.707608261651915,1.41610583981661,0.934031476728846,0.961583219935474,1.32415983610492,0.6771145472789,0.787265664108537,1.39073339218149,0.537595672877748,1.01920702750233,0.788360518662035,0.695204009394812,0.967498913433171
"BMPR1B",5.50481686499393,1.82384915317375,0.791766612215268,-0.314581696154792,5.4018350507287,-3.98403337768577,0.861851432149305,-3.83183552048231,-0.635246962368331,7.40855964451844,1.9357386653774,6.61904271519154,4.6290809070363,3.29461217000626,-1.01982007881353
"DEDD",2.78116820823629,2.296265653751,2.23557040737377,1.9147235935071,2.96003523015697,3.03794953042144,2.93930457875541,2.46146825073166,3.11631796538392,3.16483164695257,3.03060485581107,2.67201746431132,5.24840687928879,2.70552999676753,4.26305485574721
"EPN1",3.68343807331312,3.87007596810569,3.88157333512675,3.74540440794479,3.86302697167279,5.04173284797579,3.6134318097833,4.40114917568496,3.71584112525701,4.0990494894446,3.81121473921619,3.72478370052477,3.59111903237557,2.82154204303862,3.16068887323389
"EPB41L2",2.91017667831139,3.72809809067126,3.14903021212677,0.661614060709448,2.79618095310378,1.62982077593066,3.86105074997262,2.20136895075536,3.03996179251567,1.63325232664911,2.75929781558721,2.42998338001719,1.55351658307214,2.18868746870588,3.15387291272531
"PDE4DIP",5.0253213428456,3.7173665052715,3.37500740812093,2.23155301233372,4.37990691616991,3.36939044293607,4.02509539398345,3.83944558004805,3.89704875369658,3.16715969840574,3.42383220327058,2.65631999093967,6.43646402754805,3.66371101272719,3.85764227486751
"JKAMP",2.46123647528154,2.41602797854079,2.67330461077631,1.05062582341372,2.60087030909916,2.91286230002975,1.31237437732266,1.04693330955979,2.07635244127592,3.64869934043545,1.82950922826602,2.85076545708528,3.01700052570192,2.87471594708866,2.41606907774444
"POLI",1.85827084088804,2.09803714012556,1.83106947265258,1.20309307063851,1.50875366644405,1.80427309742547,0.394191776447236,0.711122321794744,0.804892539931494,2.78247726880521,1.38873482472469,2.65829491166998,1.05458993067055,2.83348349083529,0.962706460223099
"NID1",4.14344817398334,5.71241805474051,4.66766687781832,2.54690014449081,4.6841204537866,2.45507339803204,3.28016066668946,3.44770984006469,3.46887093581024,4.48196218892685,2.61134502021193,4.17793771367318,3.41574695396368,3.57573839644481,4.14435045835838
"C5orf24",2.9494195058261,3.0668121561986,3.24503660364547,2.76269792312825,3.31946408414797,2.88410209338678,2.66349221955477,1.90344039323249,1.89531029171705,3.63767926119711,2.50645754311758,3.10261519820198,2.69878038632587,2.96058029113186,2.98218019050387
"OSBPL3",0.0628338202591392,1.71330069822316,0.605888762184713,-0.0980569367290638,0.803910484820708,1.51085726991822,2.10862880487436,1.45077816554202,1.62680410277205,-0.431610267702598,1.4505179369436,1.36385325011678,0.603780186224506,0.671542176714516,2.65834288955368
"GPR89B",-3.37909221664165,-5.32997033696714,-4.82919599932115,-3.25924791890891,-3.62989659076314,-0.308549037944282,-4.2312441723558,-4.48032368517875,-3.96689798577079,-0.390207709651321,-2.48577384981923,-4.18325677131494,-1.54540984252596,-4.18426994151248,-3.45584605848527
"JAG1",3.03175685428616,3.77024360159077,3.51968201607611,2.19919414470982,3.01201132443853,1.46235641006354,5.16673131583106,3.10601960928469,3.44658840628613,3.28775548926315,0.954138144262007,3.00408491542275,2.89256726645025,2.33141870031114,3.65904357284968
"ARL10",-1.83687026534262,-1.50240995934382,-3.03060349479168,-0.661521558058729,-2.68497788639207,-0.280725749045356,-3.68614404567719,-4.28890251837711,-4.47095503238077,-1.99879015181616,-1.52174380862403,-3.90924313450126,-4.87555152094922,-4.18426994151248,-2.38348593663862
"EIF4B",5.94102445753382,5.45903309427165,4.78764149793216,6.06019154431932,5.52238013495818,5.20552367393533,5.47038701626401,4.77952908285586,5.09616758937244,5.93067093218118,5.33549709751647,6.29205788312112,5.71252075096821,5.1123704657132,4.99244163055508
"HSD3B2",-8.79414458138731,-7.71090121090548,-8.65663379690726,-8.95733826134071,-6.97164775487711,-7.22845591309584,-4.60749116474571,-7.22972131431018,-5.70551001451503,-11.3336265482046,-6.82965163853005,-5.41852068538085,-11.4411486968034,-11.6893827999235,-6.63259327450283
"STRN",1.51461756229579,1.61580729284516,0.980515104129331,1.4704438524745,1.17099222490358,1.93719483200513,1.8422017802013,0.392758135262945,0.199471954069318,1.9443994482429,2.02794045830407,-0.140706059170332,-0.119079720607352,-0.110595947530035,1.83727575187268
"TFCP2",2.15600839491192,2.03421933725129,1.21940395825651,2.60490795131162,1.92956966876563,2.71408430205705,2.28239972216579,1.3392230120296,1.92606227241616,2.86483691051374,1.72782754342707,2.41292939612457,1.95377990449188,-0.66102499548807,1.75651509574119
"PDCD6",3.19468308843952,3.35592481725221,3.53685511810711,3.07029791567986,3.19096376320621,3.62773192999973,3.98890337610211,4.66894641457588,3.55153868315032,3.81272367029473,4.25276574683343,4.00224021218291,3.69470180620384,4.46851187183529,3.32606717712001
"SH3GLB2",3.14770756635487,2.46350614004537,2.91805221448036,2.27566985590636,1.88760329297841,1.85358091474008,2.71363610800328,2.15990334859795,2.35620480407732,4.25734504049064,2.68793934159642,3.74938655328042,3.1392105778492,3.33543499301998,2.34050438208354
"GPN2",0.697219520875511,0.269731373713999,0.451159452191221,0.575156362261177,-0.108311903960058,0.728080693414642,0.958782652589954,0.741607071372441,0.575386813356677,0.1567380012002,0.678135849895366,0.596034548826162,1.3499327732555,0.598135668381316,1.21324346290217
"IER5",1.658287604445,2.33537971368523,2.74308018093849,1.38383708526869,1.76852077016235,0.24278929412874,2.25125633910169,1.85356245604679,2.10351182038298,2.23071946462544,1.29454503391624,2.1209291996102,2.49025735819835,2.09190395729136,3.80874499618723
"RASL11B",-0.0436348449865065,1.15852998000779,0.701819198155965,-0.0454130852352437,-1.31919578517758,-0.774712847972382,-0.411257488761807,-1.10680038278508,0.184587838717531,1.45713571703329,-2.4352331303313,2.95190736610789,0.80558299613727,-2.39023890274075,-0.83324280590795
"STXBP4",0.257114214980469,0.751231773358985,0.648645493903436,0.0301172265836733,-0.383220344548233,1.94741180710231,-0.73892583279594,-1.45087759025757,-0.236317394182166,1.33884564523483,-2.08427760288328,-0.514935481135381,2.00033374531058,-0.384304894358731,-0.875526664024031
"DNAJC21",3.03279132721556,2.82196572034395,3.01071586626004,3.24636712869861,2.82260125456953,3.74770971549372,3.70844387213605,2.77193812021003,2.91387180667707,3.74093792485499,3.32924166430979,3.53218898714893,3.56322716342306,3.13607898682314,2.96131092773341
"SFRP2",6.44253629070643,7.64607614176956,5.44862393993012,3.15371793387863,6.40003070219447,3.00340810803502,4.88629850660857,4.79701205070825,5.71562185378434,6.22644941744459,2.52678406422008,7.11630319464455,4.16693369155582,5.64622388697437,5.32194214700481
"GPNMB",4.23312108648115,5.24223623562445,4.07068967058839,2.48162690997203,4.71067269608931,3.27675218288168,4.1048057369044,5.02914748271062,5.83909587054085,4.3081087869644,4.19978174375558,5.01242456554534,5.07414397105788,4.32378352071965,4.86309985850235
"MS4A7",0.831262674141121,3.1922143943748,0.866118024269884,-2.62832669636336,4.75089980301339,0.56809037569185,1.36503205820822,1.02646101036091,1.50008060978676,-0.0928900633429173,0.326805123431024,5.20152189575242,5.71063632927487,2.14700589373974,1.80375775845257
"C10orf140",-4.03701775478816,-3.31116627094641,-1.54559977382963,-1.70921324019049,-4.92679407986464,-2.37756368818677,-4.04993966351832,-4.96181340958486,-2.11207100009085,-5.02019928239087,-1.03416907315197,-5.10096745328918,-0.410718810987792,-3.89620220125334,-1.63783842514608
"CHRNA4",-11.7167230378959,-11.6600625822837,-3.92803265908966,-3.87868615472836,-11.6860031879782,-11.3346367013878,-7.84357685151114,-11.6723994625325,-11.6759955874552,-11.3336265482046,-6.04389860103931,-11.4669748633644,-11.4411486968034,-11.6893827999235,-11.4751699052735
"TPP1",4.4496047948207,5.12292659441224,4.07573427927375,2.19482420981403,4.61216336691842,4.53133965585478,3.77907795723069,3.6343047298045,4.95497712504303,4.19966959870433,3.8548147684364,4.56359046343213,5.5868903870818,4.36451004208779,5.02255568410212
"IRAK3",-0.325310803730478,0.487484528675969,0.93188796536762,2.64710256528202,-0.153716427985291,-1.35146921544188,0.26807835410463,-0.821061116792602,0.0855074435433476,-1.13568009007547,-1.18607181905972,-0.514935481135381,-0.770253493449967,1.22299461800024,-0.609789233207639
"RWDD2B",1.1917393890136,1.4203286012512,1.01360475235938,0.145564508867217,1.30344701741217,2.29138301809226,1.7725146430781,1.85989241190923,1.17086319817962,1.13820511899709,0.931847915787447,2.24700720959291,1.82351351650093,1.3636650505824,1.66949407264209
"SPRR2G",-11.7167230378959,-8.62022231775193,-11.7125235551035,-8.95733826134071,-11.6860031879782,-11.3346367013878,-8.75408009189127,-8.16473165824233,-11.6759955874552,-11.3336265482046,-11.6785499478265,-11.4669748633644,-11.4411486968034,-11.6893827999235,-8.12043566530292
"WDR43",2.46890057095554,2.28869356235307,2.44169077364492,3.48405573411484,2.2699329055871,4.16733902533425,3.23943726260297,2.77193812021003,2.30894616283516,3.04589044956716,3.03013650868521,2.6417547446977,2.41860717458283,2.82690732377792,3.71817264272609
"PTP4A1",3.19098081684425,4.09739483045428,3.90191380277745,4.91155218315699,4.24194075224915,4.41807238225666,4.91141836784695,3.79851159423488,3.08193397729497,5.45288234295149,4.10726233182863,3.65891221639638,4.7750227726048,5.60574055405216,4.32604186084874
"MAPK1IP1L",3.53825402726279,3.53604785613383,3.03394111480551,3.37554099218659,3.67715501883132,4.35615073739567,2.81942650616334,3.32908922144197,3.52903098835106,4.25607392387515,3.1969712531627,3.66776187885184,3.74187576688672,3.46892763687802,3.74563252209711
"EPN2",2.22823073300354,2.661240538142,2.11499858160376,2.18384119683901,3.17238010828344,2.31585502932816,1.33468515127205,1.97749639851685,1.91708548600092,3.76079131204055,2.49618602527584,2.50066173412666,2.98192111046215,2.13246690162288,2.86443726247164
"DGCR6",1.32832738572584,1.35511165235463,1.54345449611731,0.855414575205479,1.44418863375631,0.811334280802098,0.975319825713844,2.5950396271112,1.04795668197812,1.38143669423645,1.46943304653428,0.593284681639465,2.89256726645025,1.26373581333301,1.11947614307231
"ADARB1",1.34951653760687,2.67542379999873,1.94572118245698,2.0044561129778,1.87484715607948,0.32465728917695,0.773492580929619,1.46080730356707,1.89256528567448,1.98486203231768,1.43701494273227,1.40363760548778,1.39329746529153,2.40224629917218,2.23217520533108
"RMND5B",2.60356841715602,1.95171726457177,2.2943202086595,1.39911250356413,1.95759577339109,1.50235291483639,0.790583530403791,2.01881428794204,1.31997396456659,3.58634576295877,3.23127452381499,2.99473734040864,3.05169841452955,2.68230700789203,1.32947984418169
"DUS3L",0.287480571127648,0.198558777554493,-0.123332159490718,1.5842405433677,0.632631128844584,2.11645048792339,1.46601716567945,0.324828013332235,0.773405352695221,1.1637358268068,1.0621651581165,0.386462579336654,0.757716813627378,0.464709982741004,0.595747321279392
"CELF5",-1.95221963011279,-1.75067047960759,-3.51462868439535,-1.47535319929004,-1.51859758737527,0.911078209812542,-8.75408009189127,-5.28028815376805,-5.89484573574494,-6.82684690763679,-3.66551207250336,-5.25102452525427,-8.40376647480036,-5.60378818489807,-6.23020675664595
"ADORA2A",0.914843747523865,0.170222060275263,-0.329184302014282,-1.06059139183644,-1.04946012913303,-1.73061728482708,-0.479276828304965,0.353821023718045,1.17235780043977,3.85031055199044,0.243932622740719,4.39689038333847,3.13377460238824,-0.986249215244957,0.2590477262495
"LRRC7",-11.7167230378959,-7.71090121090548,-6.22400854614573,-4.83661349559499,-11.6860031879782,-11.3346367013878,-2.72714987827431,-11.6723994625325,-11.6759955874552,-11.3336265482046,-8.68686938568341,-11.4669748633644,-8.40376647480036,-11.6893827999235,-4.67085815509248
"C19orf21",3.04685597423209,3.07562395520221,2.84289348136024,-0.397930803390339,3.10875371440055,-2.64835329513528,0.630845686750711,-5.94807661714449,-2.47830217100896,2.93799944484406,-0.254325910362748,3.14219429218429,2.85944882058319,3.22003377462046,0.203341327975465
"SLIT3",1.97409800423286,3.81919930952801,2.62415942559252,-2.7749031123904,3.28329428647075,-0.764414770959069,0.600154410619971,1.23594098908507,0.970239987624792,1.30646561334886,-0.699935290283236,2.6074133286585,1.28847714460292,1.04319846125364,1.93959195515849
"GOT2",3.64696939560417,3.37343062503317,4.80284559687561,3.42278321397817,3.86852571003347,3.42218989265689,3.18973491462806,3.77156998220383,2.90300101242677,3.53206835464429,4.16556526160795,4.44714885007039,4.74437042440289,4.1411985092553,3.6627417362391
"UPF1",3.89733109586785,4.01015703062628,3.68945055880459,4.36218725678721,3.68813407325317,4.23674989001551,4.36495801578278,4.71768117023802,3.5754133698916,4.4655978440646,3.38890079945931,4.05215911052406,4.24080786346589,3.58405659726633,4.16327358872901
"DPY19L4",2.32148488546833,2.79623651134018,3.03854165312179,3.4820397032115,1.96256898457658,3.5380099017829,2.87175807159438,1.29319112731832,2.49960573211316,3.21765922353128,2.24430033669688,2.85191629197253,1.75756306509659,2.77958991155091,2.63744585497269
